what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.common.text.ext,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.text.ext",1334923850981
started,bundle,org.jboss.tools.jst.jsp,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.jsp",1334923851013
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1334923851247
started,bundle,org.jboss.tools.common.text.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.text.xml",1334923851606
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1334923851621
started,bundle,org.jboss.tools.jmx.ui,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.jmx.ui",1334923852495
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334923854305
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1334923857489
started,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1334923857770
started,bundle,org.jboss.tools.portlet.core,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.portlet.core",1334923878384
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334923878477
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.12,"org.tigris.subversion.clientadapter.javahl",1334923890571
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.12,"org.tigris.subversion.clientadapter.svnkit",1334923890587
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1334923897687
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1334924045715
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924126424
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1334924129825
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1334924129825
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924129903
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924130013
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1334924144619
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1334924145025
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334924145118
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924147209
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334924147350
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924164905
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924168120
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924182570
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924182617
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1334924182648
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1334924192027
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1334924193415
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1334924196302
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334924196333
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1334924197816
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1334924200516
started,bundle,org.jboss.tools.cdi.core,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.core",1334924207194
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1334924237437
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1334924239341
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924247908
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924247986
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924248173
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924253775
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1334924253791
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1334924261562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924263809
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924329521
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1334924329599
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1334924330395
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1334924334874
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924336169
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1334924351259
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1334924351306
