what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.common.el.core,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.el.core",1335181640604
started,bundle,org.jboss.tools.common.model,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.model",1335181640697
started,bundle,org.jboss.tools.common.model.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.model.ui",1335181640885
started,bundle,org.jboss.tools.common.projecttemplates,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.projecttemplates",1335181640885
started,bundle,org.jboss.tools.common.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.verification",1335181640885
started,bundle,org.jboss.tools.common.verification.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.verification.ui",1335181640885
started,bundle,org.jboss.tools.esb.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.core",1335181640916
started,bundle,org.jboss.tools.esb.project.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.project.core",1335181640916
started,bundle,org.jboss.tools.hibernate.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.xml",1335181640947
started,bundle,org.jboss.tools.jmx.core,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.jmx.core",1335181640947
started,bundle,org.jboss.tools.jsf,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf",1335181640994
started,bundle,org.jboss.tools.jsf.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.ui",1335181641056
started,bundle,org.jboss.tools.jsf.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.verification",1335181641056
started,bundle,org.jboss.tools.jst.web,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web",1335181641056
started,bundle,org.jboss.tools.jst.web.tiles,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.tiles",1335181641056
started,bundle,org.jboss.tools.jst.web.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.ui",1335181641103
started,bundle,org.jboss.tools.jst.web.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.verification",1335181641103
started,bundle,org.jboss.tools.seam.core,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.core",1335181641103
started,bundle,org.jboss.tools.seam.pages.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.pages.xml",1335181641150
started,bundle,org.jboss.tools.seam.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.ui",1335181641165
started,bundle,org.jboss.tools.seam.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.xml",1335181641181
started,bundle,org.jboss.tools.smooks.ui,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.smooks.ui",1335181641181
started,bundle,org.jboss.tools.struts,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts",1335181641181
started,bundle,org.jboss.tools.struts.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.ui",1335181641181
started,bundle,org.jboss.tools.struts.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.verification",1335181641181
started,bundle,com.collabnet.subversion.merge,2.1.0,"com.collabnet.subversion.merge",1335181641181
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1335181641181
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,"org.tigris.subversion.subclipse.core",1335181641181
started,bundle,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui",1335181641196
os,sysinfo,,,"win32",1335181641212
arch,sysinfo,,,"x86",1335181641212
ws,sysinfo,,,"win32",1335181641212
locale,sysinfo,,,"en_US",1335181641212
processors,sysinfo,,,"2",1335181641212
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335181641212
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1335181641212
java.specification.name,sysinfo,,,"Java Platform API Specification",1335181641212
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335181641212
java.specification.version,sysinfo,,,"1.6",1335181641212
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335181641212
java.version,sysinfo,,,"1.6.0_24",1335181641212
java.vm.info,sysinfo,,,"mixed mode",1335181641212
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1335181641212
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335181641212
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335181641212
java.vm.specification.version,sysinfo,,,"1.0",1335181641212
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335181641212
java.vm.version,sysinfo,,,"19.1-b02",1335181641212
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1335181641415
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1335181641695
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1335181641945
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1335181642428
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1335181642553
started,bundle,org.jboss.tools.vpe,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.vpe",1335181642569
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1335181642584
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1335181642584
